;marca;preco
0;Cadeira Gamer Husky Gaming Tempest 700, Preto, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA074;R$ 779,99
1;Cadeira Gamer Husky Gaming Tempest 700, Branco,  Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA077;R$ 779,99
2;Cadeira Gamer Husky Gaming Tempest 500, Preto, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA078;R$ 689,99
3;Cadeira Gamer Prizi, Até 120 Kg, Com Almofadas, Roxa - PZ1006E;R$ 633,23
4;Cadeira Gamer Husky Gaming Tempest 500, Preto e Branco, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA082;R$ 689,99
5;Cadeira Gamer Vermelha Prizi - Jx-1039r;R$ 399,00
6;Cadeira Gamer Husky Gaming Tempest 700, Preto e Vermelho, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA075;R$ 779,99
7;Cadeira Gamer Husky Gaming Tempest 700, Cinza Claro, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA076;R$ 779,99
8;Cadeira Gamer Prizi Canvas, Até 120Kg, Com Almofadas, Preta;R$ 429,00
9;Cadeira Gamer Mymax MX5, Até 150kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Preto - MGCH-MX5/BK;R$ 654,99
10;Cadeira Gamer Husky Gaming Tempest 500, Preto e Azul, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA081;R$ 689,99
11;Cadeira Gamer ThunderX3 TGC12, Até 120kg, com Almofadas, Reclinável, Preto;R$ 1.049,99
12;Cadeira Gamer Prizi Jx-1039g, até 120 kg, com Almofadas para Pescoço e Lombar, Regulagem de altura, Verde;R$ 399,00
13;Cadeira Gamer Husky Gaming Snow, Preto, Cilindro de Gás Classe 4, Base em Metal, Roda em Nylon - HSN-BK;R$ 449,99
14;Cadeira Gamer Husky Gaming Tempest 500 Black e Purple, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - Special Edition;R$ 689,99
15;Cadeira Gamer Alpha Gamer Nebula Fabric, Até 150 kg, Apoio de Braço 4D, Reclinável, Cinza - AGNEBULA;R$ 1.099,99
16;Cadeira Gamer Husky Gaming Blizzard, Preto, Com Almofadas, Reclinável, Descanso de Braço 2D - HGMA005;R$ 639,99
17;Cadeira Gamer Husky Gaming Snow, Preto e Vermelho, Cilindro de Gás Classe 4, Base em Metal, Roda em Nylon - HSN-BR;R$ 419,99
18;Cadeira Gamer Prizi, Amarela, Com Almofadas - JX-1039Y;R$ 399,00
19;Cadeira Gamer Mymax MX0, Peso Suportado até 120Kg, Giratória, Preto - mgch-mx0/bk;R$ 380,12
20;Cadeira Gamer Stillus Ergonômica Com Apoio Para Os Pés - Rosa;R$ 399,81
21;Cadeira Gamer Snake Lancaster, Branca - Cgf001-B;R$ 499,00
22;Cadeira Gamer PCYes Mad Racer V8 Turbo, Black - V8TBMADPT;R$ 999,99
23;Cadeira Gamer Husky Gaming Hailstorm, Preto, Com Almofadas, Reclinável, Descanso de Braço 2D - HHA-BK;R$ 729,99
24;Cadeira Gamer Falcon, RGB, Com inclinação multifuncional até 130° -  jx-1039rgb;R$ 599,90
25;Cadeira Gamer Fox Office Fox Racer, até 130kgs, com RGB e Iluminação LED, com almofadas, Reclinável, Preta;R$ 699,89
26;Cadeira Gamer Mymax MX1, Peso Suportado até 120Kg, Giratória, Preto - mgch-8131/bk;R$ 464,78
27;Cadeira Gamer Mymax MX5, Até 150kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Preto e Azul - MGCH-MX5/BL;R$ 649,99
28;Cadeira Gamer Prizi Infinity, até 120KG, Escritório, Azul;R$ 359,90
29;Cadeira DT3 Nero, Até 120kg, com Almofada, Reclinável, Braço 4D, Cilindro de Gás Classe 4, Preto - 13747-2;R$ 1.299,99
30;Cadeira Gamer Prizi Pz1006e, Capacidade de peso: Até 120 Kg, Verde;R$ 399,90
31;Cadeira Gamer Snake Lancaster, Azul - Cgf001-A;R$ 399,00
32;Cadeira Gamer DT3 Elise, Até 130 Kg, com Almofadas, Reclinável, Preto - 13436-7;R$ 949,99
33;Cadeira Gamer DT3 Nero XL, Até 160Kg, Com Almofada, Descanso de Braço 4D, Cloud - 13637-0;R$ 1.499,99
34;Cadeira Gamer Alpha Gamer Vega, Preto, Reclinável, com Almofadas, Cilindro de Gás Classe 4;R$ 859,99
